#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-02-14T21:35:48 [V7.296]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.296	
#INFO	-ref=VIZ63ebfdcb5f39b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=34	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/618/A93&tab:{J/A+A/618/A93/table1}&key:source=J/A+A/618/A93/table1&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/618/A93/table1
#-order=I
#-out=Cluster
#-out=RAJ2000
#-out=DEJ2000
#-out=GLON
#-out=GLAT
#-out=r50
#-out=Nstars
#-out=pmRA
#-out=s_pmRA
#-out=pmDE
#-out=s_pmDE
#-out=plx
#-out=s_plx
#-out=e_plx
#-out=dmode
#-out=dmode+01
#-out=dmode-01
#-out=X
#-out=Y
#-out=Z
#-out=Rgc
#-out=SimbadName
#

#RESOURCE=yCat_36180093
#Name: J/A+A/618/A93
#Title: Gaia DR2 open clusters in the Milky Way (Cantat-Gaudin+, 2018)
#Table	J_A_A_618_A93_table1:
#Name: J/A+A/618/A93/table1
#Title: Summary of mean parameters for the OCs characterised in this study
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000. (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000. (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Cluster	(a17)	Cluster name (cluster)	[ucd=meta.id.parent]
#Column	RAJ2000	(F7.3)	[] Mean right ascension of members (J2000) (ra)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F7.3)	Mean declination of members (J2000) (dec)	[ucd=pos.eq.dec;meta.main]
#Column	GLON	(F7.3)	Mean Galactic longitude of members (l)	[ucd=pos.galactic.lon]
#Column	GLAT	(F7.3)	Mean Galactic latitude of members (b)	[ucd=pos.galactic.lat]
#Column	r50	(F6.3)	Radius containing half the members (r50)	[ucd=phys.angSize;src]
#Column	Nstars	(I4)	Number of members (probability over 0.5) (nbstars)	[ucd=meta.number]
#Column	pmRA	(F7.3)	Mean proper motion along RA of members (pmra)	[ucd=pos.pm;pos.eq.ra]
#Column	s_pmRA	(F6.3)	Standard deviation of pmRA of members (sigpmra)	[ucd=stat.stdev;pos.pm;pos.eq.ra]
#Column	pmDE	(F7.3)	Mean proper motion along DE of members(pmdec)	[ucd=pos.pm;pos.eq.dec]
#Column	s_pmDE	(F6.3)	Standard deviation of pmdec of members (sigpmdec)	[ucd=stat.stdev]
#Column	plx	(F6.3)	Mean parallax of members (par)	[ucd=pos.parallax.trig]
#Column	s_plx	(F6.3)	Standard deviation of parallax of members (sigpar)	[ucd=stat.stdev;pos.parallax]
#Column	e_plx	(F6.3)	Standard deviation of parallax of members over square root of nbstars (uncertpar)	[ucd=stat.error;pos.parallax]
#Column	dmode	(F7.1)	Most likely distance (dmode)	[ucd=pos.distance]
#Column	dmode+01	(F6.1)	Distance if +0.1mas added to parallax (dmodePLUS01)	[ucd=pos.distance]
#Column	dmode-01	(F7.1)	? Distance if -0.1mas added to parallax null if mean parallax under 0.1mas (dmodeMINUS01)	[ucd=pos.distance]
#Column	X	(F8.1)	X coordinate in Galactic coordinates (X)	[ucd=pos.cartesian.x;pos.galactic]
#Column	Y	(F8.1)	Y coordinate in Galactic coordinates (Y)	[ucd=pos.cartesian.y;pos.galactic]
#Column	Z	(F7.1)	Z coordinate in Galactic coordinates (Z)	[ucd=pos.cartesian.z;pos.galactic]
#Column	Rgc	(F7.1)	Distance from Galactic centre assuming the Sun is at 8340pc (Rgc)	[ucd=pos.distance]
#Column	SimbadName	(a25)	Simbad column added by the CDS	[ucd=meta.id]
_RAJ2000;_DEJ2000;Cluster;RAJ2000;DEJ2000;GLON;GLAT;r50;Nstars;pmRA;s_pmRA;pmDE;s_pmDE;plx;s_plx;e_plx;dmode;dmode+01;dmode-01;X;Y;Z;Rgc;SimbadName
131.20200;-41.28000;Collinder_197    ;131.202;-41.280;261.517;  0.956; 0.150; 243; -5.808; 0.305;  3.933; 0.388; 1.034; 0.085; 0.006;  940.4; 859.5; 1038.0;  -138.7;  -929.9;   15.7; 8529.5;Collinder 197
135.11900;-48.98400;Collinder_205    ;135.119;-48.984;269.203; -1.851; 0.047; 102; -4.797; 0.304;  3.918; 0.262; 0.483; 0.101; 0.013; 1953.0;1634.0; 2428.2;   -27.1; -1951.8;  -63.1; 8591.8;Collinder 205
156.42900;-57.92200;Collinder_220    ;156.429;-57.922;284.548; -0.349; 0.109; 137; -7.339; 0.094;  2.677; 0.102; 0.364; 0.041; 0.004; 2542.6;2027.2; 3409.7;   638.7; -2461.1;  -15.5; 8085.0;Collinder 220
186.79800;-60.76700;Collinder_258    ;186.798;-60.767;299.974;  1.966; 0.128; 124; -7.051; 0.111; -0.288; 0.095; 0.764; 0.046; 0.005; 1260.7;1119.9; 1442.6;   629.5; -1091.4;   43.2; 7787.4;Collinder 258
189.51900;-68.37700;Collinder_261    ;189.519;-68.377;301.696; -5.537; 0.108;1858; -6.351; 0.165; -2.705; 0.160; 0.315; 0.082; 0.002; 2903.7;2250.2; 4092.0;  1518.5; -2459.1; -280.2; 7251.2;Collinder 261
199.54300;-67.07900;Collinder_268    ;199.543;-67.079;305.537; -4.343; 0.080; 141; -5.480; 0.090; -0.405; 0.085; 0.357; 0.038; 0.004; 2591.5;2058.1; 3498.2;  1501.9; -2102.7; -196.2; 7154.1;Collinder 268
200.99200;-66.20400;Collinder_269    ;200.992;-66.204;306.210; -3.539; 0.137;  72; -5.058; 0.059; -2.492; 0.102; 0.568; 0.043; 0.005; 1676.7;1435.9; 2014.5;   988.6; -1350.3; -103.5; 7474.4;Collinder 269
202.45300;-64.19900;Collinder_271    ;202.453;-64.199;307.093; -1.637; 0.049;  53; -5.697; 0.059; -1.579; 0.060; 0.353; 0.038; 0.006; 2619.7;2075.8; 3549.7;  1579.3; -2088.8;  -74.8; 7076.0;Collinder 271
202.58600;-61.31900;Collinder_272    ;202.586;-61.319;307.584;  1.201; 0.127; 291; -3.441; 0.080; -1.798; 0.134; 0.414; 0.046; 0.003; 2255.3;1840.6; 2913.2;  1375.3; -1786.9;   47.3; 7190.3;Collinder 272
207.05800;-66.06600;Collinder_277    ;207.058;-66.066;308.655; -3.827; 0.141; 206; -9.225; 0.097; -4.139; 0.091; 0.576; 0.042; 0.003; 1653.0;1418.0; 1980.2;  1030.2; -1287.9; -110.3; 7422.4;Collinder 277
237.41000;-57.59400;Collinder_292    ;237.410;-57.594;325.040; -2.584; 0.095; 105; -2.397; 0.076; -2.232; 0.086; 0.528; 0.045; 0.005; 1794.4;1521.4; 2186.8;  1469.1; -1027.2;  -80.9; 6947.2;Collinder 292
248.79200;-50.99000;Collinder_307    ;248.792;-50.990;334.388; -2.321; 0.063; 133; -0.715; 0.144; -3.339; 0.108; 0.484; 0.054; 0.005; 1947.4;1630.0; 2418.4;  1754.6;  -841.1;  -78.9; 6638.9;Collinder 307
264.48300;-37.65700;Collinder_338    ;264.483;-37.657;351.740; -3.236; 0.242;  70;  2.546; 0.150; -1.854; 0.145; 1.521; 0.060; 0.007;  645.1; 606.0;  689.6;   637.4;   -92.5;  -36.4; 7703.1;Collinder 338
267.01800;+01.52500;Collinder_350    ;267.018;+01.525; 26.952; 14.773; 0.786; 178; -4.965; 0.387; -0.019; 0.243; 2.708; 0.129; 0.011;  365.4; 352.5;  379.3;   314.9;   160.1;   93.2; 8026.7;Collinder 350
270.59800;+03.26000;Collinder_359    ;270.598;+03.260; 30.228; 12.394; 1.562; 329;  0.637; 0.234; -8.668; 0.294; 1.786; 0.105; 0.006;  551.0; 522.3;  583.2;   465.0;   271.0;  118.3; 7879.6;Collinder 359
283.09200;-20.22900;Collinder_394    ;283.092;-20.229; 14.869; -9.268; 0.196; 183; -1.459; 0.184; -5.882; 0.171; 1.388; 0.056; 0.004;  705.9; 659.4;  759.5;   673.4;   178.8; -113.7; 7668.7;Collinder 394
304.53400;+40.73200;Collinder_419    ;304.534;+40.732; 78.100;  2.777; 0.058;  51; -2.708; 0.358; -6.382; 0.219; 0.952; 0.041; 0.007; 1019.2; 925.0; 1134.9;   209.9;   996.1;   49.4; 8190.9;Collinder 419
027.03100;+71.73800;Collinder_463    ;027.031;+71.738;127.391;  9.358; 0.608; 433; -1.715; 0.124; -0.307; 0.148; 1.137; 0.042; 0.002;  857.5; 789.8;  937.9;  -513.8;   672.2;  139.4; 8879.3;Collinder 463
274.14300;-18.30900;Collinder_469    ;274.143;-18.309; 12.736; -0.871; 0.029;  32;  0.089; 0.059; -1.679; 0.053; 0.399; 0.054; 0.010; 2339.5;1895.9; 3054.1;  2281.7;   515.7;  -35.6; 6080.2;Collinder 469
083.79200;+09.81300;Collinder_69     ;083.792;+09.813;195.162;-12.050; 0.989; 669;  1.194; 0.550; -2.118; 0.393; 2.462; 0.124; 0.005;  401.5; 386.0;  418.3;  -379.0;  -102.7;  -83.8; 8719.6;Collinder 69
087.17000;+07.37400;Collinder_74     ;087.170;+07.374;199.019;-10.379; 0.063; 118;  1.011; 0.121; -1.512; 0.122; 0.379; 0.075; 0.008; 2452.7;1969.4; 3250.1; -2280.9;  -786.2; -441.9;10649.9;Collinder 74
097.78800;+09.89400;Collinder_95     ;097.788;+09.894;201.825;  0.049; 0.171; 144; -2.263; 0.347; -5.159; 0.311; 1.458; 0.117; 0.012;  672.4; 630.0;  720.9;  -624.2;  -250.0;    0.6; 8967.7;Collinder 95
001.90600;+61.47600;Czernik_1        ;001.906;+61.476;117.725; -0.952; 0.024;  39; -2.964; 0.121; -1.395; 0.087; 0.310; 0.040; 0.007; 2950.9;2278.6; 4185.9; -1372.6;  2611.7;  -49.0;10057.7;Czernik 1
038.48300;+60.16700;Czernik_10       ;038.483;+60.167;135.355; -0.208; 0.023;  42; -1.178; 0.160;  0.267; 0.217; 0.239; 0.106; 0.017; 3734.8;2718.9; 5962.0; -2657.2;  2624.4;  -13.6;11306.0;Czernik 10
039.85300;+54.92200;Czernik_12       ;039.853;+54.922;138.105; -4.737; 0.047;  38; -0.189; 0.086;  0.931; 0.074; 0.482; 0.058; 0.009; 1955.7;1635.9; 2430.8; -1450.8;  1301.5; -161.5; 9876.9;Czernik 12
041.10600;+62.32700;Czernik_13       ;041.106;+62.327;135.639;  2.276; 0.050; 102;  0.585; 0.094; -0.208; 0.109; 0.293; 0.053; 0.006; 3100.2;2367.8; 4494.1; -2214.8;  2165.9;  123.1;10774.7;Czernik 13
049.26200;+58.61200;Czernik_14       ;049.262;+58.612;140.939;  0.927; 0.027;  58; -0.490; 0.120; -0.395; 0.145; 0.285; 0.052; 0.007; 3181.6;2413.8; 4665.4; -2470.1;  2004.6;   51.5;10994.4;Czernik 14
052.75400;+52.61200;Czernik_16       ;052.754;+52.612;145.885; -2.999; 0.057;  54;  0.795; 0.157; -2.181; 0.117; 0.340; 0.050; 0.008; 2706.6;2129.9; 3711.5; -2237.7;  1515.9; -141.6;10685.8;Czernik 16
066.96300;+30.93600;Czernik_18       ;066.963;+30.936;168.263;-12.309; 0.051;  51;  1.826; 0.261; -2.994; 0.131; 0.738; 0.079; 0.011; 1303.4;1153.0; 1498.8; -1246.8;   259.0; -277.8; 9590.3;Czernik 18
074.25800;+28.76300;Czernik_19       ;074.258;+28.763;174.096; -8.862; 0.076;  91;  1.049; 0.116; -2.126; 0.113; 0.367; 0.050; 0.006; 2524.6;2015.6; 3377.6; -2481.2;   256.6; -388.9;10824.3;Czernik 19
010.95200;+60.19700;Czernik_2        ;010.952;+60.197;121.983; -2.661; 0.085;  92; -4.060; 0.116; -0.905; 0.089; 0.495; 0.049; 0.005; 1906.8;1601.5; 2355.9; -1008.9;  1615.6;  -88.5; 9487.5;Czernik 2
080.12900;+39.54500;Czernik_20       ;080.129;+39.545;168.286;  1.440; 0.032;  42;  0.619; 0.102; -1.583; 0.061; 0.264; 0.046; 0.008; 3415.5;2544.9; 5183.9; -3343.3;   693.2;   85.9;11703.9;Czernik 20
081.67100;+36.01300;Czernik_21       ;081.671;+36.013;171.889;  0.453; 0.053; 134;  2.244; 0.200; -0.907; 0.179; 0.221; 0.112; 0.011; 4000.3;2857.0; 6669.0; -3960.2;   564.4;   31.6;12313.1;Czernik 21
087.52500;+28.89800;Czernik_23       ;087.525;+28.898;180.540;  0.819; 0.050; 119;  0.080; 0.138; -1.794; 0.171; 0.288; 0.108; 0.011; 3158.0;2401.3; 4614.1; -3157.6;   -29.8;   45.2;11497.6;Czernik 23
088.84800;+20.87600;Czernik_24       ;088.848;+20.876;188.058; -2.226; 0.045; 121;  0.222; 0.269; -2.629; 0.268; 0.261; 0.124; 0.013; 3449.4;2566.1; 5267.6; -3412.8;  -483.2; -134.0;11762.7;Czernik 24
093.43200;+06.95300;Czernik_25       ;093.432;+06.953;202.410; -5.135; 0.056; 123; -0.222; 0.136;  0.252; 0.121; 0.438; 0.059; 0.006; 2141.9;1763.9; 2726.0; -1972.2;  -813.3; -191.7;10344.2;Czernik 25
097.75400;-04.18300;Czernik_26       ;097.754;-04.183;214.342; -6.445; 0.019;  12;  0.142; 0.087;  0.191; 0.101; 0.060; 0.084; 0.018;11286.1;5299.6;       ; -9259.9; -6326.5;-1266.8;18702.4;Czernik 26
105.83000;+06.38200;Czernik_27       ;105.830;+06.382;208.585;  5.538; 0.024;  57; -0.505; 0.168; -1.395; 0.078; 0.221; 0.065; 0.009; 4001.7;2857.9; 6667.0; -3497.5; -1905.7;  386.2;11989.9;Czernik 27
112.10000;-15.38500;Czernik_29       ;112.100;-15.385;230.796;  0.963; 0.059; 193; -1.406; 0.298;  1.354; 0.219; 0.235; 0.068; 0.005; 3796.0;2751.5; 6119.0; -2399.0; -2941.1;   63.8;11134.5;Czernik 29
015.78000;+62.78700;Czernik_3        ;015.780;+62.787;124.267; -0.055; 0.014;  48; -0.220; 0.158; -0.296; 0.169; 0.195; 0.071; 0.012; 4472.2;3089.8; 8087.3; -2518.1;  3696.0;   -4.3;11469.9;Czernik 3
112.79600;-09.94500;Czernik_30       ;112.796;-09.945;226.336;  4.158; 0.030;  94; -0.587; 0.138; -0.097; 0.142; 0.110; 0.079; 0.009; 7193.4;4183.6;25656.2; -4953.5; -5190.0;  521.6;14270.7;Czernik 30
114.23800;-20.51500;Czernik_31       ;114.238;-20.515;236.270;  0.266; 0.038;  88; -1.946; 0.107;  3.035; 0.116; 0.295; 0.051; 0.006; 3090.3;2360.7; 4473.0; -1716.0; -2570.1;   14.4;10379.2;Czernik 31
117.62000;-29.85300;Czernik_32       ;117.620;-29.853;245.890; -1.737; 0.036; 174; -2.962; 0.118;  2.480; 0.123; 0.196; 0.068; 0.005; 4438.4;3073.7; 7979.5; -1812.2; -4049.3; -134.5;10930.0;Czernik 32
268.32000;-27.37300;Czernik_37       ;268.320;-27.373;  2.209; -0.644; 0.039; 229;  0.459; 0.191; -0.445; 0.147; 0.406; 0.095; 0.006; 2298.2;1868.6; 2984.2;  2296.3;    88.6;  -25.8; 6044.3;Czernik 37
282.45100;+04.96500;Czernik_38       ;282.451;+04.965; 37.168;  2.624; 0.041; 194; -1.840; 0.189; -5.005; 0.210; 0.383; 0.134; 0.010; 2424.9;1951.7; 3203.2;  1930.3;  1463.4;  111.0; 6574.7;Czernik 38
286.92600;+04.33700;Czernik_39       ;286.926;+04.337; 38.648; -1.630; 0.032;  61; -1.586; 0.115; -4.704; 0.096; 0.253; 0.073; 0.010; 3548.8;2620.2; 5501.6;  2770.5;  2215.4; -100.9; 5993.9;Czernik 39
295.66100;+21.14500;Czernik_40       ;295.661;+21.145; 57.474; -1.114; 0.078; 113; -2.249; 0.119; -4.613; 0.165; 0.207; 0.088; 0.009; 4242.5;2978.5; 7370.9;  2280.7;  3576.4;  -82.5; 7036.0;Czernik 40
297.75400;+25.29000;Czernik_41       ;297.754;+25.290; 62.024; -0.690; 0.083; 234; -2.932; 0.138; -6.164; 0.128; 0.369; 0.063; 0.004; 2511.1;2007.2; 3352.7;  1177.9;  2217.5;  -30.2; 7497.5;Czernik 41
339.89600;+59.90800;Czernik_42       ;339.896;+59.908;107.097;  1.153; 0.027;  49; -3.383; 0.155; -2.527; 0.150; 0.182; 0.070; 0.011; 4740.8;3215.7; 9013.7; -1393.5;  4530.4;   95.4;10736.2;Czernik 42
353.41500;+61.95400;Czernik_44       ;353.415;+61.954;113.927;  0.450; 0.058;  48; -2.377; 0.160; -0.878; 0.112; 0.184; 0.091; 0.012; 4696.9;3196.1; 8849.2; -1904.9;  4293.2;   36.9;11108.0;Czernik 44
030.54300;+62.83800;Czernik_6        ;030.543;+62.838;130.904;  1.066; 0.053;  28; -1.129; 0.077; -0.127; 0.093; 0.353; 0.046; 0.009; 2617.0;2073.5; 3543.0; -1713.3;  1977.6;   48.7;10245.9;Czernik 6
038.24000;+58.76400;Czernik_8        ;038.240;+58.764;135.779; -1.553; 0.025;  40;  0.480; 0.094; -0.721; 0.138; 0.332; 0.042; 0.007; 2774.7;2171.8; 3836.9; -1987.8;  1934.4;  -75.2;10507.4;Czernik 8
038.39300;+59.88300;Czernik_9        ;038.393;+59.883;135.423; -0.488; 0.037;  64; -0.912; 0.154;  0.272; 0.195; 0.300; 0.063; 0.009; 3034.7;2328.0; 4357.3; -2161.5;  2129.9;  -25.9;10715.3;Czernik 9
310.64500;+42.94600;DB2001_22        ;310.645;+42.946; 82.570;  0.400; 0.032;  24; -2.714; 0.377; -4.644; 0.213; 0.268; 0.078; 0.019; 3369.2;2518.1; 5074.5;   435.7;  3340.8;   23.5; 8581.4;[DB2001] Cl 22
245.10600;-50.90200;DBSB_100         ;245.106;-50.902;332.843; -0.586; 0.029;  52; -2.940; 0.180; -3.622; 0.170; 0.148; 0.066; 0.011; 5652.8;3610.0;12997.7;  5029.4; -2580.0;  -57.8; 4197.2;[DBS2003] 100
242.63100;-49.01400;DBSB_101         ;242.631;-49.014;332.999;  1.879; 0.064;  45; -1.822; 0.171; -2.193; 0.158; 0.520; 0.056; 0.009; 1822.2;1541.3; 2227.0;  1622.7;  -826.8;   59.7; 6768.0;[DBS2003] 101
255.99700;-51.08800;DBSB_104         ;255.997;-51.088;337.216; -5.866; 0.035;  27; -0.443; 0.201; -2.692; 0.228; 0.908; 0.141; 0.030; 1067.2; 964.1; 1194.4;   978.7;  -411.1; -109.1; 7372.7;[DBS2003] 104
130.57100;-40.73700;DBSB_21          ;130.571;-40.737;260.796;  0.918; 0.016;  14; -5.998; 0.360;  4.440; 0.483; 0.613; 0.058; 0.020; 1558.7;1348.5; 1846.4;  -249.3; -1538.4;   25.0; 8726.0;[DBS2003] 21
107.57900;-18.43400;DBSB_3           ;107.579;-18.434;231.468; -4.285; 0.033;  45; -1.937; 0.155;  2.696; 0.152; 0.281; 0.054; 0.008; 3230.8;2441.7; 4773.5; -2007.0; -2520.2; -241.4;10649.5;[DBS2003] 3
150.96200;-59.23200;DBSB_43          ;150.962;-59.232;282.927; -3.034; 0.022;  28; -5.056; 0.091;  3.142; 0.082; 0.187; 0.036; 0.007; 4626.8;3163.3; 8610.2;  1033.6; -4503.2; -244.9; 8582.7;[DBS2003] 43
112.49300;-19.10200;DBSB_6           ;112.493;-19.102;234.239; -0.486; 0.036;  26; -1.931; 0.100;  2.442; 0.095; 0.255; 0.040; 0.010; 3519.4;2603.0; 5431.9; -2056.7; -2855.8;  -29.9;10781.8;[DBS2003] 6
166.38500;-62.48200;DBSB_60          ;166.385;-62.482;291.037; -2.081; 0.030;  31; -5.229; 0.372;  1.874; 0.222; 0.202; 0.105; 0.019; 4321.3;3016.0; 7600.4;  1550.2; -4030.6; -156.9; 7896.0;[DBS2003] 60
113.85500;-18.67700;DBSB_7           ;113.855;-18.677;234.490;  0.848; 0.106;  70; -1.683; 0.119;  2.401; 0.089; 0.351; 0.092; 0.012; 2629.9;2082.1; 3568.9; -1527.4; -2140.5;   38.9;10096.9;[DBS2003] 7
159.99600;-59.19200;DC_5             ;159.996;-59.192;286.795; -0.502; 0.031; 139; -5.356; 0.145;  2.396; 0.151; 0.198; 0.075; 0.007; 4410.4;3060.6; 7896.9;  1274.3; -4222.1;  -38.7; 8231.0;DC 5
092.33500;+31.22800;DC_8             ;092.335;+31.228;180.576;  5.589; 0.019;  31;  0.775; 0.208; -1.309; 0.183; 0.223; 0.144; 0.026; 3972.1;2841.7; 6600.2; -3953.0;   -39.7;  386.9;12293.1;DC 8
198.12100;-62.69900;Danks_1          ;198.121;-62.699;305.342;  0.074; 0.020;  71; -7.020; 0.137; -0.499; 0.197; 0.159; 0.134; 0.014; 5323.6;3477.4;11384.7;  3079.5; -4342.5;    6.9; 6821.3;Danks 1
198.22200;-62.68100;Danks_2          ;198.222;-62.681;305.390;  0.089; 0.013;  67; -7.016; 0.152; -0.336; 0.217; 0.129; 0.063; 0.010; 6323.6;3873.7;17166.8;  3662.2; -5155.1;    9.8; 6961.1;Danks 2
010.63000;+64.05600;Dias_1           ;010.630;+64.056;121.957;  1.201; 0.058;  62; -2.752; 0.088; -0.523; 0.085; 0.372; 0.036; 0.005; 2491.1;1994.4; 3317.2; -1318.2;  2113.1;   52.2; 9886.7;Dias 1
092.29100;+04.57300;Dias_2           ;092.291;+04.573;203.982; -7.259; 0.051;  54; -0.772; 0.172;  1.240; 0.175; 0.210; 0.097; 0.012; 4187.6;2953.2; 7214.2; -3795.4; -1688.4; -529.1;12252.3;Dias 2
274.38500;-19.70700;Dias_5           ;274.385;-19.707; 11.614; -1.736; 0.078;  91;  1.798; 0.262; -0.945; 0.311; 0.744; 0.080; 0.010; 1293.9;1145.6; 1486.3;  1266.8;   260.4;  -39.2; 7078.0;Dias 5
277.61700;-12.33000;Dias_6           ;277.617;-12.330; 19.588; -1.027; 0.049; 228;  0.482; 0.131; -0.591; 0.138; 0.331; 0.074; 0.005; 2775.5;2172.5; 3841.7;  2614.5;   930.3;  -49.8; 5800.6;Dias 6
306.68200;+41.37200;Dolidze_11       ;306.682;+41.372; 79.551;  1.812; 0.026;  31; -1.255; 0.109; -4.260; 0.184; 0.490; 0.092; 0.020; 1927.6;1615.5; 2387.3;   349.4;  1894.7;   60.9; 8212.1;Dolidze 11
078.62300;+32.70700;Dolidze_16       ;078.623;+32.707;173.170; -3.499; 0.130;  52; -0.063; 0.152; -2.602; 0.180; 0.762; 0.084; 0.012; 1264.2;1122.3; 1447.3; -1252.9;   150.1;  -77.2; 9594.1;Dolidze 16
303.80300;+36.83200;Dolidze_3        ;303.803;+36.832; 74.545;  1.072; 0.094;  36; -2.875; 0.088; -5.613; 0.072; 0.496; 0.033; 0.005; 1906.6;1601.3; 2355.7;   508.0;  1837.3;   35.7; 8044.6;Dolidze 3
280.26000;-04.05400;Dolidze_32       ;280.260;-04.054; 28.139;  0.460; 0.092;  38; -0.705; 0.103; -2.027; 0.065; 0.464; 0.044; 0.006; 2026.9;1685.5; 2543.2;  1787.3;   955.9;   16.3; 6622.1;Dolidze 32
305.02500;+39.33100;Dolidze_5        ;305.025;+39.331; 77.154;  1.678; 0.086; 158; -1.929; 0.106; -5.384; 0.127; 0.443; 0.058; 0.005; 2116.0;1746.6; 2685.5;   470.2;  2062.2;   62.0; 8135.5;Dolidze 5
296.58800;+24.61300;Dolidze_53       ;296.588;+24.613; 60.905; -0.121; 0.044;  42; -1.494; 0.153; -4.609; 0.131; 0.478; 0.039; 0.006; 1972.2;1647.5; 2456.4;   959.0;  1723.4;   -4.2; 7579.5;Dolidze 53
306.12900;+42.30000;Dolidze_8        ;306.129;+42.300; 80.072;  2.684; 0.083;  43; -2.633; 0.190; -5.910; 0.195; 0.993; 0.063; 0.011;  978.2; 891.0; 1084.3;   168.5;   962.5;   45.8; 8228.0;Dolidze 8
150.80100;-64.75500;ESO_092_05       ;150.801;-64.755;286.184; -7.506; 0.043;  55; -2.919; 0.132;  2.397; 0.215; 0.061; 0.082; 0.012;11147.1;5278.1;       ;  3080.3;-10613.7;-1456.1;11845.4;ESO 092-05
153.73000;-64.61100;ESO_092_18       ;153.730;-64.611;287.124; -6.658; 0.025;  59; -3.551; 0.128;  2.761; 0.100; 0.032; 0.064; 0.008;16347.2;6208.5;       ;  4780.7;-15517.2;-1895.2;15920.2;ESO 092-18
181.97000;-59.31000;ESO_130_06       ;181.970;-59.310;297.391;  3.092; 0.109;  72;-11.266; 0.148; -0.866; 0.127; 1.229; 0.039; 0.005;  794.9; 736.4;  863.5;   365.2;  -704.8;   42.9; 8005.9;ESO 130-06
182.61900;-59.47900;ESO_130_08       ;182.619;-59.479;297.745;  2.980; 0.101; 117; -5.952; 0.108; -0.875; 0.092; 0.721; 0.033; 0.003; 1333.8;1176.8; 1539.1;   620.1; -1178.8;   69.3; 7809.4;ESO 130-08
185.78200;-59.64400;ESO_130_13       ;185.782;-59.644;299.357;  3.031; 0.088; 133; -4.422; 0.074; -0.417; 0.067; 0.386; 0.042; 0.004; 2408.5;1940.4; 3171.4;  1179.1; -2096.3;  127.3; 7461.4;ESO 130-13
221.22000;-59.15800;ESO_134_12       ;221.220;-59.158;317.028;  0.574; 0.033;  63; -5.182; 0.141; -3.122; 0.137; 0.415; 0.049; 0.006; 2253.2;1838.8; 2908.6;  1648.5; -1535.8;   22.6; 6865.4;ESO 134-12
137.60200;-53.88400;ESO_166_04       ;137.602;-53.884;273.886; -3.980; 0.068;  36; -5.983; 0.082;  5.675; 0.100; 0.866; 0.054; 0.007; 1117.2;1005.0; 1257.8;    75.5; -1112.0;  -77.5; 8338.9;ESO 166-04
132.89700;-50.25300;ESO_211_03       ;132.897;-50.253;269.240; -3.770; 0.051; 135; -4.681; 0.199;  4.333; 0.232; 0.159; 0.098; 0.009; 5309.8;3468.1;11323.1;   -70.3; -5297.8; -349.1; 9939.8;ESO 211-03
139.18600;-50.28500;ESO_211_09       ;139.186;-50.285;271.945; -0.795; 0.024;  28; -3.530; 0.222;  3.120; 0.295; 0.093; 0.108; 0.019; 8182.2;4498.8;45091.2;   277.7; -8176.7; -113.6;11483.1;ESO 211-09
246.04000;-51.15100;ESO_226_06       ;246.040;-51.151;333.081; -1.178; 0.040;  30; -2.181; 0.124; -3.308; 0.061; 0.389; 0.058; 0.009; 2392.0;1930.2; 3144.4;  2132.4; -1082.7;  -49.2; 6301.3;ESO 226-06
120.41500;-41.59600;ESO_311_21       ;120.415;-41.596;257.145; -5.852; 0.045;  64; -2.852; 0.151;  5.510; 0.197; 0.160; 0.049; 0.007; 5298.9;3463.6;11271.2; -1172.8; -5139.2; -540.3;10812.2;ESO 311-21
126.12300;-41.28700;ESO_312_03       ;126.123;-41.287;259.239; -2.106; 0.049;  64; -3.780; 0.107;  4.457; 0.140; 0.228; 0.067; 0.010; 3893.3;2802.0; 6366.0;  -726.5; -3822.3; -143.0; 9839.2;ESO 312-03
126.72200;-41.25100;ESO_312_04       ;126.722;-41.251;259.470; -1.717; 0.016;  39; -2.915; 0.176;  3.917; 0.138; 0.150; 0.058; 0.007; 5595.4;3585.0;12701.9; -1022.1; -5498.7; -167.7;10857.5;ESO 312-04
