#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-02-14T21:33:37 [V7.296]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.296	
#INFO	-ref=VIZ63ebfe1663d08	
#INFO	-out.max=unlimited	
#INFO	queryParameters=36	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/ApJS/260/8&tab:{J/ApJS/260/8/params}&key:source=J/ApJS/260/8/params&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/260/8/params
#-order=I
#-out=Cluster
#-out=GLON
#-out=s_GLON
#-out=GLAT
#-out=s_GLAT
#-out=Plx
#-out=s_Plx
#-out=pmRA
#-out=s_pmRA
#-out=pmDE
#-out=s_pmDE
#-out=RV
#-out=s_RV
#-out=o_RV
#-out=m-M
#-out=AG
#-out=logAge
#-out=Z
#-out=N70
#-out=minProb
#-out=NminProb
#-out=Class
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_22600008
#Name: J/ApJS/260/8
#Title: 541 new open cluster candidates (He+, 2022)
#Coosys	G:	galactic
#Table	J_ApJS_260_8_params:
#Name: J/ApJS/260/8/params
#Title: Parameters of median astrometric values and isochrone fits for 541 new open cluster candidates
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Cluster	(I3)	[1/541] Cluster CWNU ID (cluster)	[ucd=meta.id;meta.main]
#Column	GLON	(F7.3)	Galactic longitude (l)	[ucd=pos.galactic.lon]
#Column	s_GLON	(F5.2)	Longitude dispersion (sigma_l)	[ucd=instr.dispersion]
#Column	GLAT	(F7.3)	Galactic latitude (b)	[ucd=pos.galactic.lat]
#Column	s_GLAT	(F5.2)	Latitude dispersion (sigma_b)	[ucd=instr.dispersion]
#Column	Plx	(F5.2)	Parallax (Parallax)	[ucd=pos.parallax]
#Column	s_Plx	(F5.2)	Parallax dispersion (sigma_Parallax)	[ucd=stat.error]
#Column	pmRA	(F6.2)	Proper motion along RA, pmRA*cosDE (pmRA*)	[ucd=pos.pm;pos.eq.ra]
#Column	s_pmRA	(F5.2)	pmRA dispersion (sigma_pmRA*)	[ucd=pos.pm]
#Column	pmDE	(F6.2)	Proper motion along DE (pmDEC)	[ucd=pos.pm;pos.eq.dec]
#Column	s_pmDE	(F5.2)	pmDE dispersion (sigma_pmDEC)	[ucd=pos.pm]
#Column	RV	(A5)	? Radial velocity (RV)	[ucd=phys.veloc;pos.heliocentric]
#Column	s_RV	(A4)	? RV dispersion (sigma_RV)	[ucd=instr.dispersion]
#Column	o_RV	(I1)	? Stars used to compute RV (N_RV) [NULL integer written as an empty string]	[ucd=meta.number]
#Column	m-M	(F5.2)	RV dispersion (N_RV>1)|RV error(N_RV=1)) (m-M)	[ucd=stat.variance]
#Column	AG	(F5.2)	G band extinction (A_G)	[ucd=phys.absorption]
#Column	logAge	(F4.1)	Logarithmic age (log(age/yr))	[ucd=time.age]
#Column	Z	(F6.3)	Metallicity (Z)	[ucd=phys.abund.Z]
#Column	N70	(I3)	Number of member stars with Pcl>0.7 (N_70)	[ucd=meta.number]
#Column	minProb	(F5.2)	Minimum Pcl used for statistics (min_prob)	[ucd=stat.fit.goodness]
#Column	NminProb	(I3)	Number of member stars with Pcl>minProb (N_min_prob)	[ucd=meta.number]
#Column	Class	(I1)	[1/3] Classification (class)	[ucd=meta.code.class]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
_RAJ2000;_DEJ2000;Cluster;GLON;s_GLON;GLAT;s_GLAT;Plx;s_Plx;pmRA;s_pmRA;pmDE;s_pmDE;RV;s_RV;o_RV;m-M;AG;logAge;Z;N70;minProb;NminProb;Class;_RA.icrs;_DE.icrs
113.50122;-19.19983; 79;234.784; 0.13;+00.301; 0.06; 0.36; 0.04; -1.78; 0.09;  2.66; 0.09; 42.3; 0.8;1;11.90; 1.45; 8.8; 0.018;107; 0.70;107;1;113.5012;-19.1998
093.77867;+11.87385; 80;198.230; 0.25;-02.501; 0.24; 1.28; 0.05; -1.91; 0.13; -4.46; 0.17;  ---; ---;0; 9.45; 0.35; 7.8; 0.024; 32; 0.72; 32;1;093.7787;+11.8738
098.86453;+10.44543; 81;201.825; 0.29;+01.243; 0.13; 0.93; 0.04; -1.64; 0.14; -0.89; 0.11;112.3; 7.3;1;11.05; 1.90; 6.8; 0.040; 33; 0.72; 33;1;098.8645;+10.4454
094.55776;+14.88145; 82;195.942; 0.04;-00.406; 0.07; 0.38; 0.03; -0.48; 0.07; -1.89; 0.07;  ---; ---;0;12.10; 1.05; 8.5; 0.022; 39; 0.71; 39;1;094.5578;+14.8815
347.40210;+56.78945; 83;109.291; 0.29;-03.361; 0.25; 0.88; 0.08;  0.17; 0.45; -1.41; 0.44;-28.2; 1.5;1;10.50; 1.10; 8.4; 0.040; 67; 1.00; 67;1;347.4021;+56.7895
159.09308;-65.17422; 84;289.363; 0.06;-05.924; 0.07; 0.44; 0.03; -5.76; 0.07;  2.65; 0.07;  ---; ---;0;11.55; 0.60; 8.4; 0.036; 44; 0.71; 44;1;159.0931;-65.1742
257.93358;-41.35571; 85;345.841; 0.10;-01.131; 0.07; 0.43; 0.04; -0.74; 0.12; -2.69; 0.09;-19.1; 5.1;2;11.30; 3.40; 7.4; 0.020;160; 0.70;160;1;257.9336;-41.3557
283.41353;-04.67781; 86;029.018; 0.11;-02.623; 0.15; 0.58; 0.04; -0.40; 0.13; -2.80; 0.09;  ---; ---;0;10.60; 2.30; 7.5; 0.008; 76; 0.70; 76;1;283.4135;-04.6778
022.61120;+59.64083; 87;127.849; 0.10;-02.858; 0.07; 0.33; 0.01; -1.18; 0.05; -0.71; 0.07;-53.3;22.9;4;11.90; 1.55; 8.4; 0.002; 34; 0.73; 34;1;022.6112;+59.6408
131.66088;-59.69611; 88;276.234; 0.24;-10.214; 0.49; 1.83; 0.05; -7.71; 0.37;  6.42; 0.27; 18.5; 0.3;3; 8.40; 0.05; 6.9; 0.006; 27; 0.60; 42;1;131.6609;-59.6961
133.29458;-54.42757; 89;272.630; 0.14;-06.236; 0.15; 0.78; 0.03; -5.68; 0.19;  4.48; 0.14;  ---; ---;0;10.45; 0.45; 7.9; 0.020; 41; 0.70; 41;1;133.2946;-54.4276
021.32526;+67.75864; 90;126.139; 0.21;+05.098; 0.21; 0.94; 0.09;  0.09; 0.13;  0.62; 0.25;  ---; ---;0;11.00; 1.55; 6.7; 0.022; 39; 1.00; 39;1;021.3253;+67.7586
104.32208;-21.30524; 91;232.672; 0.41;-08.309; 0.25; 1.22; 0.06; -3.46; 0.15;  3.24; 0.11; 39.4; 1.2;3; 9.10; 0.10; 7.5; 0.012;218; 0.70;218;1;104.3221;-21.3052
352.41053;+62.23476; 92;113.564; 0.17;+00.860; 0.09; 0.90; 0.03; -2.33; 0.09; -1.26; 0.04;  ---; ---;0; 9.75; 2.35; 7.5; 0.002; 32; 0.77; 32;1;352.4105;+62.2348
091.76655;-17.32304; 93;223.882; 0.57;-17.412; 0.50; 1.23; 0.10; -2.31; 0.59; -1.71; 1.05; 18.3;18.2;2; 9.35; 0.15; 8.9; 0.020; 58; 1.00; 58;1;091.7666;-17.3230
099.19859;-39.22869; 94;247.882; 0.54;-19.414; 0.56; 1.76; 0.12; -2.13; 1.32;  6.46; 0.94; 22.6; 0.7;5; 9.20; 0.50; 7.7; 0.028; 64; 1.00; 64;1;099.1986;-39.2287
223.29553;-54.11130; 95;320.265; 0.05;+04.612; 0.05; 0.91; 0.07; -2.80; 0.09; -2.30; 0.14;  ---; ---;0; 9.65; 1.15; 7.2; 0.002; 44; 0.72; 44;1;223.2955;-54.1113
312.71981;+38.36100; 96;079.976; 0.47;-03.696; 0.21; 1.08; 0.03; -3.30; 0.11; -4.22; 0.15;  ---; ---;0; 9.85; 0.80; 7.6; 0.014; 29; 0.61; 47;1;312.7198;+38.3610
089.98647;+16.08484; 97;192.756; 0.15;-03.680; 0.16; 0.78; 0.09;  0.76; 0.21; -0.32; 0.14;  ---; ---;0;10.35; 0.95; 7.6; 0.006; 26; 0.36; 37;1;089.9865;+16.0848
275.97742;-09.87781; 98;021.010; 0.20;+01.538; 0.12; 0.68; 0.01;  0.25; 0.10; -3.48; 0.09;  ---; ---;0;11.35; 2.00; 7.5; 0.040; 31; 0.71; 31;1;275.9774;-09.8778
036.30682;+66.54769; 99;132.084; 0.05;+05.357; 0.05; 0.29; 0.03; -1.32; 0.08;  0.56; 0.08;  ---; ---;0;12.00; 2.35; 8.8; 0.040; 28; 0.16; 31;1;036.3068;+66.5477
110.46339;-04.32834;100;220.273; 0.16;+04.762; 0.49; 1.89; 0.05; -2.13; 0.14; -3.61; 0.14; -3.4;17.2;2; 8.70; 0.05; 8.0; 0.022; 29; 1.00; 29;1;110.4634;-04.3283
278.87169;-09.78815;101;022.412; 0.03;-00.947; 0.06; 0.93; 0.07; -0.26; 0.17; -5.57; 0.12;  ---; ---;0;10.25; 2.40; 6.5; 0.030; 40; 0.72; 40;1;278.8717;-09.7882
128.76605;-36.46559;102;256.544; 0.25;+02.390; 0.12; 1.03; 0.04; -5.60; 0.19;  5.20; 0.22;  ---; ---;0; 9.40; 0.05; 7.5; 0.022; 31; 0.70; 31;1;128.7660;-36.4656
030.77535;+68.44941;103;129.462; 0.15;+06.491; 0.20; 0.98; 0.06;  0.78; 0.17;  0.58; 0.17;  ---; ---;0;10.80; 1.40; 6.2; 0.002; 39; 0.96; 39;1;030.7753;+68.4494
096.00065;+20.51824;104;191.610; 0.07;+03.456; 0.09; 0.45; 0.03;  0.14; 0.12; -1.35; 0.12; 31.8;20.0;2;12.20; 1.35; 8.5; 0.040; 45; 1.00; 45;1;096.0006;+20.5182
058.99622;+38.49983;105;158.084; 0.10;-11.466; 0.10; 0.52; 0.07;  0.19; 0.09;  0.03; 0.16;-35.4; 2.9;4;11.45; 1.85; 8.8; 0.036; 32; 0.73; 32;1;058.9962;+38.4998
304.44878;+42.10111;106;079.201; 0.13;+03.597; 0.05; 0.58; 0.03; -1.67; 0.14; -3.17; 0.26;-23.1; 3.8;4;11.35; 1.70; 8.8; 0.038; 42; 0.71; 42;1;304.4488;+42.1011
090.87227;-17.24842;107;223.450; 0.64;-18.164; 0.54; 3.88; 0.24; -5.33; 2.01;  6.76; 1.58; 19.9; 2.3;4; 6.80; 0.05; 7.3; 0.004; 37; 1.00; 37;1;090.8723;-17.2484
354.51204;+57.75244;108;113.242; 0.09;-03.732; 0.09; 0.71; 0.07; -4.59; 0.15; -1.77; 0.13;  ---; ---;0;11.15; 1.40; 7.7; 0.036; 47; 0.72; 47;1;354.5120;+57.7524
352.54046;+62.33651;109;113.653; 0.08;+00.938; 0.08; 0.58; 0.03; -3.14; 0.08; -3.00; 0.09;-36.3; 1.7;5;10.80; 2.30; 9.0; 0.040; 74; 0.70; 74;1;352.5405;+62.3365
113.85315;-15.61021;110;231.807; 0.20;+02.336; 0.23; 0.72; 0.05; -3.61; 0.20;  1.82; 0.24; 21.8; 0.6;1;11.05; 0.30; 8.6; 0.038; 77; 0.80; 77;1;113.8531;-15.6102
028.24613;+67.79817;111;128.714; 0.14;+05.620; 0.10; 0.63; 0.06; -2.22; 0.06;  0.61; 0.10;-33.2; 0.4;1;10.40; 2.65; 8.7; 0.038; 26; 1.00; 26;1;028.2461;+67.7982
302.06120;+33.96768;112;071.371; 0.14;+00.688; 0.09; 0.40; 0.02; -2.73; 0.12; -5.55; 0.20;-10.6; 0.2;1;12.35; 3.25; 7.3; 0.040; 48; 1.00; 48;1;302.0612;+33.9677
132.40698;-54.87070;113;272.650; 0.23;-06.914; 0.17; 0.75; 0.02; -3.75; 0.12;  6.74; 0.28; 29.7; 0.7;2;10.35; 0.70; 9.0; 0.004; 32; 0.70; 32;1;132.4070;-54.8707
029.31849;+63.15300;114;130.285; 0.13;+01.225; 0.11; 0.55; 0.05;  0.09; 0.09; -0.19; 0.08;  ---; ---;0;10.65; 1.40; 8.7; 0.004; 53; 0.75; 53;1;029.3185;+63.1530
026.33175;+59.78888;115;129.670; 0.07;-02.376; 0.05; 0.25; 0.01;  0.08; 0.07; -0.87; 0.07;  ---; ---;0;13.25; 2.30; 7.7; 0.034; 42; 1.00; 42;1;026.3317;+59.7889
079.34484;+45.87697;116;162.757; 0.22;+04.595; 0.20; 0.86; 0.05;  1.99; 0.31; -2.30; 0.34;  ---; ---;0;11.15; 0.85; 8.7; 0.038; 22; 0.61; 31;1;079.3448;+45.8770
341.20398;+57.53805;117;106.567; 0.15;-01.254; 0.08; 0.64; 0.03; -3.95; 0.06; -2.97; 0.07;-26.3; 0.2;1;10.85; 1.15; 8.1; 0.008; 38; 0.72; 38;1;341.2040;+57.5381
308.93004;+36.56663;118;076.704; 0.02;-02.435; 0.02; 0.33; 0.04; -2.10; 0.10; -4.98; 0.10;  ---; ---;0;13.15; 3.45; 6.7; 0.028; 42; 0.70; 42;1;308.9300;+36.5666
047.45607;+57.93811;119;140.474; 0.69;-00.141; 0.12; 1.36; 0.05;  0.91; 0.18; -5.06; 0.21;  ---; ---;0; 9.25; 1.65; 8.2; 0.018; 28; 0.01; 39;1;047.4561;+57.9381
288.87515;+07.26434;120;042.141; 0.10;-01.998; 0.10; 0.57; 0.03; -1.45; 0.10; -2.63; 0.07;  1.7; 0.5;4;10.60; 2.00; 8.9; 0.036; 62; 0.70; 62;1;288.8752;+07.2643
203.69484;-66.56130;121;307.231; 0.19;-04.052; 0.10; 0.79; 0.04; -5.43; 0.07; -0.80; 0.15;  ---; ---;0;10.80; 0.55; 8.4; 0.040; 27; 0.60; 34;1;203.6948;-66.5613
292.96903;+16.53961;122;052.210; 0.06;-01.143; 0.05; 0.46; 0.05; -1.11; 0.08; -3.58; 0.08;  ---; ---;0;11.30; 3.20; 7.4; 0.020; 75; 0.71; 75;1;292.9690;+16.5396
119.70274;-45.32073;123;260.092; 0.43;-08.216; 0.27; 1.14; 0.07; -4.78; 0.37;  7.05; 0.41;  ---; ---;0; 9.40; 0.10; 7.6; 0.010; 22; 0.52; 37;1;119.7027;-45.3207
349.12098;+64.68903;124;113.001; 0.18;+03.664; 0.12; 1.00; 0.08;  0.63; 0.25; -0.46; 0.13;  ---; ---;0;10.40; 1.85; 8.2; 0.030; 35; 0.84; 35;1;349.1210;+64.6890
329.07795;+53.99422;125;098.930; 0.08;-00.508; 0.10; 0.45; 0.02; -2.26; 0.13; -2.31; 0.09;  ---; ---;0;11.00; 1.40; 8.9; 0.010; 31; 0.78; 31;1;329.0780;+53.9942
085.47014;+30.26536;126;178.442; 0.20;+00.005; 0.14; 0.53; 0.03;  0.47; 0.06; -2.48; 0.06;  ---; ---;0;11.30; 1.90; 7.4; 0.018; 30; 0.74; 30;1;085.4701;+30.2654
085.43969;+27.48929;127;180.786; 0.10;-01.483; 0.08; 0.76; 0.07; -0.33; 0.13; -4.36; 0.06;  ---; ---;0;10.85; 1.60; 8.6; 0.018; 38; 0.71; 38;1;085.4397;+27.4893
117.66161;-35.14314;128;250.474; 0.15;-04.390; 0.16; 0.72; 0.03; -0.74; 0.10; -0.11; 0.14;  8.1; 0.4;1;11.40; 1.30; 8.4; 0.036; 66; 0.70; 66;1;117.6616;-35.1431
117.46794;-34.40557;129;249.755; 0.10;-04.155; 0.21; 0.71; 0.03; -4.24; 0.13;  4.21; 0.09;  ---; ---;0;10.55; 1.35; 7.5; 0.010; 14; 0.51; 35;1;117.4679;-34.4056
101.19807;-02.78027;130;214.651; 0.05;-02.745; 0.07; 0.46; 0.04; -0.79; 0.07;  0.24; 0.06; 54.4; 0.1;1;12.20; 1.15; 8.2; 0.034; 28; 0.63; 35;1;101.1981;-02.7803
105.94977;+00.26281;131;214.108; 0.06;+02.870; 0.03; 0.47; 0.07; -1.32; 0.08;  1.03; 0.10;  ---; ---;0;11.45; 0.95; 8.2; 0.006; 53; 0.79; 53;1;105.9498;+00.2628
276.50309;-15.03678;132;016.688; 0.11;-01.326; 0.06; 0.54; 0.03; -1.40; 0.09; -2.23; 0.10; -2.9; 0.7;3;10.70; 2.95; 8.2; 0.006; 70; 0.72; 70;1;276.5031;-15.0368
049.93369;+52.71056;133;144.405; 0.11;-03.866; 0.08; 0.31; 0.04;  0.34; 0.11; -1.06; 0.08;  ---; ---;0;12.35; 2.90; 7.9; 0.022; 43; 0.70; 43;1;049.9337;+52.7106
296.28721;+19.00902;134;055.913; 0.11;-02.687; 0.07; 0.81; 0.04; -0.88; 0.14; -4.39; 0.14;  ---; ---;0;10.10; 0.65; 8.5; 0.020; 34; 0.70; 34;1;296.2872;+19.0090
116.35095;-53.34506;135;266.185; 0.18;-13.996; 0.44; 1.32; 0.08; -4.93; 0.34;  7.68; 0.33; 17.5; 1.8;1; 9.90; 0.70; 7.9; 0.038; 28; 0.62; 31;1;116.3510;-53.3451
310.93176;+56.49580;136;093.423; 0.34;+08.571; 0.19; 1.10; 0.03; -2.38; 0.13; -5.04; 0.20;  ---; ---;0; 9.70; 1.90; 7.5; 0.024; 42; 0.70; 42;1;310.9318;+56.4958
345.73170;+46.22699;137;104.071; 0.45;-12.633; 0.51; 1.02; 0.08;  1.07; 0.41; -3.01; 0.77;-11.6;15.6;4; 9.80; 1.10; 7.8; 0.008;107; 0.76;107;1;345.7317;+46.2270
128.97588;-10.25500;138;234.875; 0.21;+17.718; 0.27; 0.85; 0.07; -4.05; 0.95;  0.96; 0.71; 32.4; 4.3;3;11.25; 0.95; 8.5; 0.010; 47; 1.00; 47;1;128.9759;-10.2550
304.59487;+33.39686;139;072.059; 0.32;-01.385; 0.11; 0.71; 0.08; -1.20; 0.15; -2.84; 0.15; 19.7; 0.2;1;10.40; 2.00; 8.8; 0.028; 35; 0.76; 35;1;304.5949;+33.3969
117.20539;-23.57539;140;240.293; 0.05;+01.131; 0.04; 0.40; 0.03; -3.17; 0.12;  3.06; 0.14; 76.4; 1.1;1;11.85; 1.15; 8.7; 0.034; 46; 0.72; 46;1;117.2054;-23.5754
247.97427;-52.87774;141;332.658; 0.09;-03.232; 0.05; 0.57; 0.04; -2.89; 0.09; -3.44; 0.05;-37.9; 0.2;1;10.75; 1.00; 8.2; 0.010; 64; 0.71; 64;1;247.9743;-52.8777
240.09017;-51.20029;142;330.326; 0.08;+01.336; 0.03; 0.38; 0.02; -1.16; 0.14; -2.12; 0.09;  ---; ---;0;12.35; 3.10; 8.5; 0.040; 32; 0.72; 32;1;240.0902;-51.2003
096.50797;-08.12712;143;217.342; 0.26;-09.319; 0.17; 0.63; 0.03; -0.06; 0.10; -1.05; 0.10; 26.5;12.0;2;11.25; 1.30; 8.7; 0.038; 42; 1.00; 42;1;096.5080;-08.1271
331.76480;+50.72050;144;098.273; 0.24;-04.110; 0.13; 0.75; 0.04;  1.87; 0.14; -0.44; 0.10;  ---; ---;0;10.85; 0.65; 7.9; 0.022; 36; 0.73; 36;1;331.7648;+50.7205
253.25730;-53.31117;145;334.416; 0.53;-05.911; 0.18; 1.06; 0.03; -1.52; 0.14; -2.26; 0.09; 14.6;11.0;1;10.40; 0.70; 8.1; 0.034; 29; 0.46; 30;1;253.2573;-53.3112
087.54447;+30.37834;146;179.277; 0.10;+01.593; 0.07; 0.29; 0.04;  0.08; 0.08; -1.39; 0.11;  ---; ---;0;11.95; 1.25; 7.2; 0.002; 88; 0.70; 88;1;087.5445;+30.3783
188.46311;-58.09217;147;300.602; 0.22;+04.700; 0.08; 1.23; 0.03;-10.93; 0.09;  0.80; 0.11;  ---; ---;0; 9.55; 0.65; 7.6; 0.006; 39; 0.74; 39;1;188.4631;-58.0922
358.18957;+57.75898;148;115.146; 0.22;-04.223; 0.17; 0.60; 0.04; -3.52; 0.07; -1.73; 0.11;  ---; ---;0;11.25; 1.15; 8.5; 0.040; 37; 0.74; 37;1;358.1896;+57.7590
057.54809;+60.17851;149;143.473; 0.35;+04.643; 0.22; 1.57; 0.06; -2.99; 0.23; -0.49; 0.17;-14.9; 5.2;2; 9.15; 0.85; 7.5; 0.022; 24; 0.50; 36;1;057.5481;+60.1785
119.75536;-40.11247;150;255.611; 0.18;-05.507; 0.07; 0.55; 0.04; -4.12; 0.06;  4.79; 0.07;  ---; ---;0;11.45; 1.50; 7.4; 0.026; 56; 0.70; 56;1;119.7554;-40.1125
266.43836;-33.48109;151;356.133; 0.09;-02.390; 0.04; 0.57; 0.04;  1.68; 0.10; -1.20; 0.08;  ---; ---;0;10.75; 1.50; 8.2; 0.018; 28; 0.61; 36;1;266.4384;-33.4811
305.84900;+32.71050;152;072.090; 0.09;-02.640; 0.10; 0.94; 0.05; -1.63; 0.22; -5.57; 0.20;-42.1; 9.2;1; 9.70; 0.25; 7.3; 0.022; 27; 0.64; 31;1;305.8490;+32.7105
302.06663;+23.16079;153;062.269; 0.11;-05.155; 0.05; 0.61; 0.06; -0.41; 0.10; -5.14; 0.18;  ---; ---;0;11.00; 1.25; 8.6; 0.038; 41; 0.79; 41;1;302.0666;+23.1608
077.95240;+38.10700;154;168.472; 0.25;-00.775; 0.30; 0.87; 0.09; -0.34; 0.32; -2.27; 0.36;  ---; ---;0;10.55; 1.05; 7.6; 0.016; 88; 1.00; 88;1;077.9524;+38.1070
273.45240;-21.07979;155;009.990; 0.04;-01.620; 0.04; 0.78; 0.04;  0.81; 0.14; -0.95; 0.13;  ---; ---;0;11.00; 0.95; 7.0; 0.032; 44; 0.70; 44;1;273.4524;-21.0798
100.56124;+08.19866;156;204.590; 0.16;+01.702; 0.27; 0.67; 0.06; -1.82; 0.22;  0.27; 0.24;  ---; ---;0;11.15; 1.50; 7.5; 0.016; 20; 0.60; 45;1;100.5612;+08.1987
129.32524;-11.52238;157;236.184; 0.30;+17.311; 0.18; 0.93; 0.05; -4.19; 0.73; -0.94; 1.00; 27.6; 0.4;1;10.00; 0.20; 9.3; 0.012; 24; 1.00; 24;1;129.3252;-11.5224
099.93226;+05.24033;158;206.935; 0.09;-00.207; 0.08; 0.64; 0.04; -1.40; 0.09;  2.90; 0.09; 41.7; 0.3;1;11.40; 1.10; 8.7; 0.032; 24; 0.40; 35;1;099.9323;+05.2403
097.04874;+06.84383;159;204.190; 0.03;-02.013; 0.07; 0.39; 0.03; -0.53; 0.06; -1.15; 0.04; 41.3; 0.9;1;11.70; 0.90; 8.9; 0.016; 24; 0.60; 32;1;097.0487;+06.8438
135.67248;-19.79727;160;246.959; 0.21;+17.418; 0.14; 0.41; 0.03; -4.51; 1.10;  3.39; 1.02;  ---; ---;0;12.60; 0.80; 9.3; 0.008;  0; 0.50; 43;1;135.6725;-19.7973
341.28484;+54.72553;161;105.292; 0.14;-03.762; 0.17; 0.87; 0.04;  2.04; 0.10;  0.23; 0.15;  ---; ---;0;10.70; 0.90; 8.3; 0.038; 34; 1.00; 34;1;341.2848;+54.7255
327.69636;+58.10497;162;100.892; 0.21;+03.186; 0.11; 0.79; 0.05; -2.30; 0.15; -3.70; 0.17;  ---; ---;0;10.60; 1.75; 7.7; 0.024; 37; 0.72; 37;1;327.6964;+58.1050
133.33206;-46.03766;163;266.179; 0.09;-00.854; 0.06; 0.48; 0.03; -5.68; 0.07;  4.39; 0.09;  ---; ---;0;11.10; 2.75; 7.1; 0.016; 25; 0.40; 35;1;133.3321;-46.0377
136.81396;-44.26652;164;266.461; 0.23;+02.160; 0.11; 0.93; 0.02; -9.51; 0.17;  7.71; 0.17;  ---; ---;0; 9.70; 1.00; 7.8; 0.008; 35; 0.92; 35;1;136.8140;-44.2665
290.07579;+04.31285;165;040.079; 0.21;-04.427; 0.10; 0.70; 0.04;  0.10; 0.10; -0.77; 0.10;  ---; ---;0;11.55; 1.05; 6.4; 0.002; 17; 0.51; 36;1;290.0758;+04.3128
285.44785;+12.48142;166;045.220; 0.42;+03.400; 0.26; 1.07; 0.06; -0.59; 0.26; -5.85; 0.11;  ---; ---;0; 9.75; 1.15; 7.9; 0.030; 16; 0.50; 33;1;285.4479;+12.4814
307.70450;+37.45832;167;076.839; 0.05;-01.118; 0.04; 0.55; 0.06; -0.31; 0.13; -3.40; 0.14;-18.5; 0.3;1;11.15; 4.35; 7.8; 0.030; 78; 0.77; 78;1;307.7045;+37.4583
080.86189;+20.66234;168;184.289; 0.18;-08.686; 0.38; 1.20; 0.07; -0.21; 0.31; -4.67; 0.35;  ---; ---;0; 9.65; 0.95; 8.2; 0.038; 19; 0.40; 50;1;080.8619;+20.6623
115.27517;-29.63883;169;244.685; 0.12;-03.393; 0.07; 0.48; 0.03; -0.97; 0.06;  0.65; 0.08; 22.0; 0.5;3;11.35; 0.60; 9.0; 0.012; 30; 0.72; 30;1;115.2752;-29.6388
259.61970;-30.94706;170;355.100; 0.04;+03.824; 0.08; 0.90; 0.07;  1.96; 0.22; -0.93; 0.13;  ---; ---;0; 9.65; 0.95; 7.1; 0.022; 18; 0.51; 31;1;259.6197;-30.9471
113.21841;-43.70676;171;256.407; 0.59;-11.501; 0.51; 3.23; 0.17;-10.25; 0.96;  6.24; 0.31; 11.6; 2.1;5; 7.20; 0.10; 7.7; 0.024; 49; 1.00; 49;1;113.2184;-43.7068
109.18554;-01.73677;172;217.375; 0.24;+04.830; 0.22; 0.98; 0.02; -2.47; 0.16;  0.14; 0.19;  ---; ---;0;10.20; 0.30; 7.8; 0.036; 21; 0.40; 36;1;109.1855;-01.7368
087.15338;+39.22325;173;171.492; 0.26;+05.837; 0.18; 1.12; 0.07;  0.18; 0.16; -1.41; 0.15;  ---; ---;0; 9.35; 0.95; 7.7; 0.004; 23; 1.00; 23;1;087.1534;+39.2232
357.98388;+54.09395;174;114.192; 0.26;-07.765; 0.12; 0.90; 0.04; -5.19; 0.05; -2.50; 0.11;  ---; ---;0;10.35; 0.40; 8.3; 0.038; 31; 1.00; 31;1;357.9839;+54.0939
188.34230;-63.53014;175;300.920; 0.28;-00.729; 0.09; 0.70; 0.03; -3.89; 0.07; -1.19; 0.11;  7.5; 4.6;1;10.20; 1.35; 8.1; 0.040; 49; 1.00; 49;1;188.3423;-63.5301
086.27683;+26.87371;176;181.701; 0.12;-01.172; 0.15; 0.54; 0.06;  0.68; 0.12; -3.40; 0.20;  ---; ---;0;11.05; 2.05; 7.8; 0.008; 90; 0.70; 90;1;086.2768;+26.8737
006.58500;+52.73994;177;119.080; 0.22;-09.944; 0.16; 0.57; 0.03; -2.00; 0.10; -1.27; 0.07;  ---; ---;0;11.00; 0.65; 7.7; 0.008; 65; 0.70; 65;1;006.5850;+52.7399
087.22119;+37.83243;178;172.722; 0.15;+05.175; 0.14; 0.35; 0.04; -0.06; 0.27; -1.40; 0.19; 29.0;20.5;4;11.70; 1.30; 9.2; 0.006; 62; 1.00; 62;1;087.2212;+37.8324
