#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-02-14T22:15:17 [V7.296]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.296	
#INFO	-ref=VIZ63ec07e7139633	
#INFO	-out.max=unlimited	
#INFO	queryParameters=38	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/661/A118&tab:{J/A+A/661/A118/table1}&key:source=J/A+A/661/A118/table1&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/661/A118/table1
#-order=I
#-out=Seq
#-out=Cluster
#-out=RA_ICRS
#-out=s_RA_ICRS
#-out=DE_ICRS
#-out=s_DE_ICRS
#-out=GLON
#-out=s_GLON
#-out=GLAT
#-out=s_GLAT
#-out=plx
#-out=s_plx
#-out=pmRA
#-out=s_pmRA
#-out=pmDE
#-out=s_pmDE
#-out=RV
#-out=s_RV
#-out=Nmemb
#-out=NmembRV
#-out=Flag
#-out=logAge
#-out=Dist
#-out=AV
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_36610118
#Name: J/A+A/661/A118
#Title: 628 new open clusters found with OCfinder (Castro-Ginard+, 2022)
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_661_A118_table1:
#Name: J/A+A/661/A118/table1
#Title: Mean parameters for the reported UBC clusters
#Column	_RAJ2000	(F8.4)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F8.4)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	Seq	(I3)	[0/627] cluster sequential number	[ucd=meta.record]
#Column	Cluster	(A7)	Cluster name (UBCNNN)	[ucd=meta.id.parent]
#Column	RA_ICRS	(F6.2)	Right Ascension mean (ICRS) at Ep=2015.5	[ucd=pos.eq.ra;meta.main]
#Column	s_RA_ICRS	(F6.2)	Right Ascension standard deviation	[ucd=pos.eq.ra]
#Column	DE_ICRS	(F6.2)	Declination mean (ICRS) at Ep=2015.5	[ucd=pos.eq.dec;meta.main]
#Column	s_DE_ICRS	(F5.2)	Declination standard deviation	[ucd=stat.stdev;pos.eq.dec]
#Column	GLON	(F6.2)	Galactic longitude mean	[ucd=pos.galactic.lon]
#Column	s_GLON	(F5.2)	Galactic longitude standard deviation	[ucd=stat.stdev;pos.galactic.lon]
#Column	GLAT	(F6.2)	Galactic latitude mean	[ucd=pos.galactic.lat]
#Column	s_GLAT	(F5.2)	Galactic latitude standard deviation	[ucd=stat.stdev;pos.galactic.lat]
#Column	plx	(F5.2)	Parallax mean	[ucd=pos.parallax;stat.mean]
#Column	s_plx	(F5.2)	Parallax standard deviation	[ucd=stat.stdev;pos.parallax]
#Column	pmRA	(F5.2)	Proper motion in right ascension mean, pmRA*cosDE	[ucd=pos.pm;pos.eq.ra]
#Column	s_pmRA	(F5.2)	Proper motion in right ascension standard deviation	[ucd=stat.stdev;pos.pm;pos.eq.ra]
#Column	pmDE	(F5.2)	Proper motion in declination mean	[ucd=pos.pm;pos.eq.dec]
#Column	s_pmDE	(F5.2)	Proper motion in declination standard deviation	[ucd=stat.stdev;pos.pm;pos.eq.dec]
#Column	RV	(F6.2)	? Radial velocity mean	[ucd=phys.veloc;pos.heliocentric]
#Column	s_RV	(F5.2)	? Radial velocity standard deviation	[ucd=stat.stdev;spect.dopplerVeloc]
#Column	Nmemb	(I3)	Number of cluster members	[ucd=meta.number]
#Column	NmembRV	(I1)	Number of cluster members with radial velocity measurements	[ucd=meta.number]
#Column	Flag	(A1)	[a] Note (1)	[ucd=meta.code.error]
#Column	logAge	(F6.3)	Logarithm of the cluster age	[ucd=time.age]
#Column	Dist	(F6.1)	Distance to the cluster	[ucd=pos.distance]
#Column	AV	(F6.3)	Line-of-sight extinction	[ucd=phys.absorption]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
_RAJ2000;_DEJ2000;Seq;Cluster;RA_ICRS;s_RA_ICRS;DE_ICRS;s_DE_ICRS;GLON;s_GLON;GLAT;s_GLAT;plx;s_plx;pmRA;s_pmRA;pmDE;s_pmDE;RV;s_RV;Nmemb;NmembRV;Flag;logAge;Dist;AV;_RA.icrs;_DE.icrs
297.4100;+29.0800; 70;UBC1071;297.41;  0.05;+29.08; 0.05; 65.13; 0.05;  1.50; 0.05; 0.29; 0.01;-1.44; 0.04;-4.58; 0.06;      ;     ; 18;0; ; 7.804;3663.0; 1.528;297.4100;+29.0800
297.8700;+29.8400; 71;UBC1072;297.87;  0.07;+29.84; 0.06; 65.99; 0.06;  1.54; 0.05; 0.22; 0.02;-3.41; 0.07;-6.35; 0.06;      ;     ; 78;0; ; 7.154;4214.0; 1.700;297.8700;+29.8400
298.2500;+30.8100; 72;UBC1073;298.25;  0.07;+30.81; 0.09; 66.99; 0.09;  1.76; 0.06; 0.25; 0.02;-1.77; 0.07;-3.04; 0.06;-25.62; 2.63; 99;7; ; 8.834;3678.0; 1.592;298.2500;+30.8100
299.8300;+30.0000; 73;UBC1074;299.83;  0.08;+30.00; 0.06; 67.00; 0.06;  0.17; 0.07; 0.39; 0.02;-2.73; 0.04;-5.65; 0.06;      ;     ; 24;0; ; 7.919;2499.0; 1.239;299.8300;+30.0000
298.7600;+30.6400; 74;UBC1075;298.76;  0.06;+30.64; 0.07; 67.07; 0.07;  1.29; 0.05; 0.26; 0.02;-2.12; 0.05;-4.18; 0.06;      ;     ; 39;0; ; 7.484;4085.0; 2.182;298.7600;+30.6400
299.4900;+30.5800; 75;UBC1076;299.49;  0.06;+30.58; 0.06; 67.34; 0.05;  0.72; 0.06; 0.36; 0.02;-1.80; 0.04;-4.15; 0.05;  8.30; 3.09; 32;3; ; 8.612;2849.0; 1.641;299.4900;+30.5800
301.0300;+30.4900; 76;UBC1077;301.03;  0.07;+30.49; 0.09; 67.97; 0.09; -0.45; 0.07; 0.33; 0.03;-1.39; 0.09;-3.62; 0.09; 47.07;     ; 61;1; ; 9.023;3078.0; 2.961;301.0300;+30.4900
299.8500;+31.1800; 77;UBC1078;299.85;  0.08;+31.18; 0.06; 68.02; 0.06;  0.77; 0.07; 0.33; 0.02;-2.40; 0.05;-5.26; 0.06;-24.29;     ; 48;1; ; 6.745;3774.0; 2.603;299.8500;+31.1800
298.3300;+32.6700; 78;UBC1079;298.33;  0.06;+32.67; 0.04; 68.62; 0.04;  2.65; 0.06; 0.49; 0.02;-2.48; 0.06;-3.45; 0.06;      ;     ; 28;0; ; 8.149;2208.0; 1.358;298.3300;+32.6700
301.2500;+31.6400; 79;UBC1080;301.25;  0.08;+31.64; 0.08; 69.04; 0.08;  0.00; 0.06; 0.37; 0.02;-1.62; 0.06;-4.73; 0.07;  1.31; 1.29; 75;2; ; 8.667;2727.0; 2.787;301.2500;+31.6400
297.9500;+33.5200; 80;UBC1081;297.95;  0.04;+33.52; 0.04; 69.19; 0.03;  3.36; 0.04; 0.17; 0.02;-2.92; 0.07;-6.15; 0.07; -0.30; 6.85; 52;2;a; 8.564;5857.0; 1.501;297.9500;+33.5200
297.2400;+34.0800; 81;UBC1082;297.24;  0.04;+34.08; 0.04; 69.37; 0.04;  4.15; 0.03; 0.15; 0.02;-2.73; 0.05;-5.50; 0.05;      ;     ; 37;0; ; 8.538;6169.0; 1.085;297.2400;+34.0800
299.6400;+33.1600; 82;UBC1083;299.64;  0.08;+33.16; 0.04; 69.61; 0.04;  1.97; 0.06; 0.78; 0.01;-0.74; 0.05;-2.06; 0.05;      ;     ; 18;0; ; 8.100;1317.0; 0.231;299.6400;+33.1600
300.9100;+32.6800; 83;UBC1084;300.91;  0.05;+32.68; 0.04; 69.77; 0.04;  0.81; 0.04; 0.46; 0.02;-1.06; 0.06;-2.02; 0.06;      ;     ; 32;0; ; 8.200;2348.0; 2.748;300.9100;+32.6800
301.5500;+32.4800; 84;UBC1085;301.55;  0.06;+32.48; 0.05; 69.88; 0.04;  0.24; 0.05; 0.23; 0.03;-2.81; 0.07;-4.43; 0.07;-10.27; 0.22; 62;2; ; 8.771;4858.0; 2.860;301.5500;+32.4800
300.0900;+33.2900; 85;UBC1086;300.09;  0.08;+33.29; 0.08; 69.92; 0.07;  1.71; 0.08; 0.29; 0.02;-2.55; 0.07;-5.38; 0.07; -2.49;     ; 37;1; ; 7.932;3447.0; 1.639;300.0900;+33.2900
302.0400;+32.3900; 86;UBC1087;302.04;  0.05;+32.39; 0.05; 70.04; 0.05; -0.15; 0.03; 0.60; 0.01;-0.29; 0.05;-1.82; 0.04;      ;     ; 19;0; ; 8.778;1758.0; 1.041;302.0400;+32.3900
305.8900;+31.0600; 87;UBC1088;305.89;  0.08;+31.06; 0.09; 70.75; 0.10; -3.61; 0.05; 0.55; 0.03;-2.13; 0.06;-5.17; 0.06;      ;     ; 33;0; ; 8.379;1915.0; 1.609;305.8900;+31.0600
301.2000;+33.9500; 88;UBC1089;301.20;  0.09;+33.95; 0.07; 70.98; 0.07;  1.28; 0.08; 0.35; 0.02;-1.99; 0.05;-5.56; 0.08;      ;     ; 35;0;a; 7.903;3025.0; 1.726;301.2000;+33.9500
302.4900;+34.3100; 89;UBC1090;302.49;  0.03;+34.31; 0.04; 71.86; 0.04;  0.58; 0.03; 0.40; 0.02;-0.67; 0.03;-2.33; 0.06; -3.23; 1.22; 20;2; ; 8.565;2513.0; 2.106;302.4900;+34.3100
301.5600;+36.3200; 90;UBC1091;301.56;  0.10;+36.32; 0.13; 73.13; 0.13;  2.30; 0.09; 0.34; 0.02;-2.53; 0.06;-5.12; 0.06;      ;     ; 61;0; ; 7.543;2994.0; 1.585;301.5600;+36.3200
301.6100;+36.3400; 91;UBC1092;301.61;  0.07;+36.34; 0.07; 73.17; 0.08;  2.28; 0.04; 0.27; 0.01;-2.99; 0.05;-6.13; 0.06; -1.18;     ; 28;1; ; 7.128;3721.0; 2.008;301.6100;+36.3400
302.9900;+35.7100; 92;UBC1093;302.99;  0.10;+35.71; 0.08; 73.25; 0.08;  1.00; 0.07; 0.28; 0.02;-3.42; 0.08;-5.18; 0.10;-17.65;31.51; 97;2;a; 7.404;3621.0; 1.797;302.9900;+35.7100
302.9300;+35.7900; 93;UBC1094;302.93;  0.13;+35.79; 0.11; 73.29; 0.12;  1.08; 0.10; 0.20; 0.02;-3.37; 0.07;-5.49; 0.10; -4.97;     ; 79;1;a; 7.138;4538.0; 2.619;302.9300;+35.7900
303.4300;+36.7500; 94;UBC1095;303.43;  0.06;+36.75; 0.04; 74.32; 0.04;  1.28; 0.05; 0.14; 0.03;-3.58; 0.08;-5.67; 0.08;      ;     ; 43;0;a; 8.617;7535.0; 3.184;303.4300;+36.7500
303.0200;+37.3500; 95;UBC1096;303.02;  0.06;+37.35; 0.04; 74.63; 0.04;  1.88; 0.05; 0.16; 0.02;-2.94; 0.08;-4.93; 0.09;-25.93; 0.61; 26;2; ; 8.579;7768.0; 3.328;303.0200;+37.3500
303.6400;+37.3800; 96;UBC1097;303.64;  0.07;+37.38; 0.06; 74.93; 0.05;  1.49; 0.07; 0.38; 0.01;-1.30; 0.06;-3.16; 0.06; -3.94;     ; 22;1; ; 8.537;2682.0; 1.607;303.6400;+37.3800
305.3800;+36.9300; 97;UBC1098;305.38;  0.05;+36.93; 0.05; 75.34; 0.05;  0.09; 0.04; 0.50; 0.01;-2.63; 0.07;-5.39; 0.10;      ;     ; 19;0; ; 7.334;2193.0; 3.038;305.3800;+36.9300
304.8000;+37.3400; 98;UBC1099;304.80;  0.13;+37.34; 0.10; 75.42; 0.09;  0.70; 0.11; 0.48; 0.01;-2.49; 0.08;-5.42; 0.08;      ;     ; 38;0; ; 6.799;2540.0; 2.723;304.8000;+37.3400
304.0600;+37.9200; 99;UBC1100;304.06;  0.08;+37.92; 0.07; 75.57; 0.07;  1.51; 0.06; 0.24; 0.02;-3.71; 0.08;-6.02; 0.08;      ;     ; 47;0;a; 7.486;3725.0; 1.768;304.0600;+37.9200
305.7000;+37.1900;100;UBC1101;305.70;  0.14;+37.19; 0.09; 75.69; 0.09;  0.02; 0.11; 0.49; 0.01;-2.37; 0.07;-5.35; 0.08;      ;     ; 58;0; ; 6.904;2315.0; 3.709;305.7000;+37.1900
308.9300;+36.5700;101;UBC1102;308.93;  0.09;+36.57; 0.07; 76.71; 0.07; -2.43; 0.07; 0.32; 0.03;-2.11; 0.08;-4.98; 0.11;      ;     ; 45;0; ; 7.134;3640.0; 3.145;308.9300;+36.5700
306.8700;+38.7600;102;UBC1103;306.87;  0.16;+38.76; 0.15; 77.51; 0.17;  0.17; 0.09; 0.60; 0.01;-0.21; 0.06;-2.84; 0.07;      ;     ; 50;0; ; 7.489;1751.0; 2.649;306.8700;+38.7600
305.0900;+39.8900;103;UBC1104;305.09;  0.08;+39.89; 0.07; 77.64; 0.07;  1.95; 0.07; 0.77; 0.02;-2.29; 0.07;-3.48; 0.09;      ;     ; 47;0; ; 7.160;1312.0; 1.356;305.0900;+39.8900
306.8500;+39.3900;104;UBC1105;306.85;  0.10;+39.39; 0.10; 78.01; 0.07;  0.55; 0.10; 0.58; 0.02;-2.22; 0.08;-4.97; 0.10;      ;     ; 53;0;a; 6.935;1908.0; 3.990;306.8500;+39.3900
304.4800;+40.7000;105;UBC1106;304.48;  0.11;+40.70; 0.08; 78.06; 0.08;  2.79; 0.08; 0.55; 0.01;-3.44; 0.07;-4.88; 0.09;      ;     ; 35;0;a; 6.990;2001.0; 2.623;304.4800;+40.7000
311.0300;+37.0500;106;UBC1107;311.03;  0.09;+37.05; 0.11; 78.11; 0.11; -3.47; 0.08; 0.32; 0.02;-2.55; 0.08;-4.05; 0.10;      ;     ; 31;0;a; 7.264;3261.0; 1.974;311.0300;+37.0500
298.0900;+44.8100;107;UBC1108;298.09;  0.06;+44.81; 0.06; 79.06; 0.05;  8.94; 0.05; 0.21; 0.02;-1.91; 0.10;-3.73; 0.12;  9.93; 3.52; 56;2; ; 9.551;4621.0; 0.878;298.0900;+44.8100
312.1000;+39.0100;108;UBC1109;312.10;  0.07;+39.01; 0.08; 80.17; 0.08; -2.91; 0.06; 0.32; 0.02;-2.62; 0.08;-3.99; 0.07;      ;     ; 32;0; ; 7.235;3958.0; 3.482;312.1000;+39.0100
306.6900;+44.0900;109;UBC1110;306.69;  0.05;+44.09; 0.06; 81.77; 0.05;  3.39; 0.05; 0.41; 0.02;-2.24; 0.09;-3.43; 0.08;-27.48;     ; 38;1; ; 8.024;2639.0; 3.421;306.6900;+44.0900
318.2500;+37.1900;110;UBC1111;318.25;  0.17;+37.19; 0.08; 81.98; 0.11; -7.76; 0.11; 0.19; 0.01;-2.90; 0.18;-3.80; 0.12;-38.99;20.77; 28;2; ; 9.263;6166.0; 0.794;318.2500;+37.1900
306.9900;+45.4600;111;UBC1112;306.99;  0.10;+45.46; 0.07; 83.02; 0.08;  4.00; 0.07; 0.33; 0.02;-2.51; 0.07;-4.64; 0.09;      ;     ; 45;0; ; 7.690;3051.0; 1.773;306.9900;+45.4600
311.6500;+43.7500;112;UBC1113;311.65;  0.06;+43.75; 0.05; 83.65; 0.05;  0.33; 0.04; 0.27; 0.02;-2.30; 0.08;-3.10; 0.08;      ;     ; 33;0; ; 7.547;4737.0; 3.186;311.6500;+43.7500
320.2900;+39.4400;113;UBC1114;320.29;  0.12;+39.44; 0.08; 84.74; 0.08; -7.36; 0.10; 0.19; 0.02;-3.58; 0.19;-4.57; 0.19;      ;     ; 24;0; ; 9.164;6700.0; 1.014;320.2900;+39.4400
309.1300;+46.8800;114;UBC1115;309.13;  0.07;+46.88; 0.07; 85.04; 0.07;  3.64; 0.05; 0.41; 0.02;-2.28; 0.07;-5.49; 0.10;      ;     ; 37;0; ; 8.027;2467.0; 1.788;309.1300;+46.8800
306.6900;+49.1100;115;UBC1116;306.69;  0.09;+49.11; 0.05; 85.89; 0.06;  6.28; 0.05; 0.59; 0.02; 0.17; 0.05;-3.86; 0.07;      ;     ; 23;0; ; 8.763;1906.0; 1.061;306.6900;+49.1100
311.4600;+46.7600;116;UBC1117;311.46;  0.13;+46.76; 0.06; 85.92; 0.08;  2.31; 0.08; 0.35; 0.02;-2.63; 0.11;-4.15; 0.10;      ;     ; 51;0; ; 6.866;3074.0; 1.706;311.4600;+46.7600
316.0700;+44.3500;117;UBC1118;316.07;  0.12;+44.35; 0.09; 86.17; 0.09; -1.71; 0.09; 0.40; 0.03;-2.25; 0.08;-3.42; 0.09;-20.39;     ;191;1;a; 8.287;2524.0; 2.223;316.0700;+44.3500
315.0100;+45.3500;118;UBC1119;315.01;  0.09;+45.35; 0.06; 86.42; 0.06; -0.48; 0.06; 0.50; 0.01;-2.48; 0.07;-4.55; 0.08;      ;     ; 26;0; ; 7.866;1993.0; 1.309;315.0100;+45.3500
315.8800;+45.3000;119;UBC1120;315.88;  0.11;+45.30; 0.08; 86.78; 0.10; -0.97; 0.05; 0.48; 0.01;-2.51; 0.06;-3.63; 0.04;      ;     ; 17;0; ; 7.647;2142.0; 1.318;315.8800;+45.3000
313.6500;+47.0400;120;UBC1121;313.65;  0.12;+47.04; 0.07; 87.08; 0.07;  1.33; 0.07; 0.29; 0.02;-4.09; 0.08;-4.71; 0.09;  6.78;     ; 47;1; ; 8.783;3746.0; 2.079;313.6500;+47.0400
312.9100;+47.8000;121;UBC1122;312.91;  0.11;+47.80; 0.10; 87.35; 0.11;  2.20; 0.06; 0.33; 0.02;-2.69; 0.07;-3.79; 0.11; -2.22;     ; 50;1; ; 6.870;3661.0; 2.178;312.9100;+47.8000
316.0900;+46.3800;122;UBC1123;316.09;  0.03;+46.38; 0.05; 87.69; 0.05; -0.36; 0.03; 0.40; 0.01;-3.14; 0.04;-4.88; 0.04;      ;     ; 11;0; ; 8.339;2736.0; 0.265;316.0900;+46.3800
312.2900;+48.7200;123;UBC1124;312.29;  0.04;+48.72; 0.03; 87.80; 0.03;  3.11; 0.03; 0.45; 0.02;-3.20; 0.09;-5.44; 0.09;      ;     ; 18;0; ; 7.957;2363.0; 1.822;312.2900;+48.7200
316.2800;+46.4200;124;UBC1125;316.28;  0.11;+46.42; 0.07; 87.81; 0.08; -0.43; 0.07; 0.29; 0.03;-4.13; 0.07;-4.75; 0.09;-31.01;     ; 55;1; ; 7.721;3315.0; 0.908;316.2800;+46.4200
315.9400;+46.9900;125;UBC1126;315.94;  0.05;+46.99; 0.03; 88.07; 0.04;  0.12; 0.02; 0.15; 0.03;-2.52; 0.07;-3.69; 0.06;      ;     ; 36;0;a; 8.620;6661.0; 3.055;315.9400;+46.9900
313.4900;+49.0800;126;UBC1127;313.49;  0.12;+49.08; 0.06; 88.58; 0.08;  2.73; 0.07; 0.47; 0.02;-1.60; 0.06;-3.30; 0.05;      ;     ; 28;0; ; 7.863;2160.0; 2.115;313.4900;+49.0800
310.5800;+50.6600;127;UBC1128;310.58;  0.11;+50.66; 0.09; 88.64; 0.08;  5.18; 0.08; 0.52; 0.02;-1.97; 0.05;-2.74; 0.06;      ;     ; 22;0; ; 7.809;2040.0; 1.628;310.5800;+50.6600
318.5500;+46.4000;128;UBC1129;318.55;  0.12;+46.40; 0.08; 88.85; 0.08; -1.60; 0.08; 0.79; 0.01;-2.97; 0.05;-3.52; 0.05;-12.22;     ; 24;1; ; 8.452;1420.0; 0.792;318.5500;+46.4000
317.4800;+47.5100;129;UBC1130;317.48;  0.13;+47.51; 0.08; 89.16; 0.08; -0.30; 0.09; 0.49; 0.02;-2.52; 0.07;-4.01; 0.07;-18.44;     ; 65;1; ; 8.448;2148.0; 1.106;317.4800;+47.5100
316.0400;+48.4300;130;UBC1131;316.04;  0.07;+48.43; 0.04; 89.19; 0.05;  1.03; 0.04; 0.26; 0.04;-0.49; 0.09;-1.78; 0.09;      ;     ; 67;0; ; 8.731;4019.0; 3.330;316.0400;+48.4300
318.7100;+47.1600;131;UBC1132;318.71;  0.07;+47.16; 0.05; 89.48; 0.05; -1.15; 0.05; 0.31; 0.01;-2.64; 0.08;-2.89; 0.05;-21.02;     ; 20;1; ; 8.525;3208.0; 0.605;318.7100;+47.1600
314.6000;+49.9000;132;UBC1133;314.60;  0.09;+49.90; 0.07; 89.67; 0.08;  2.70; 0.05; 0.39; 0.02;-3.51; 0.09;-7.15; 0.08;-33.74;     ; 35;1; ; 8.952;2628.0; 2.932;314.6000;+49.9000
317.1400;+49.0900;133;UBC1134;317.14;  0.12;+49.09; 0.06; 90.17; 0.05;  0.94; 0.08; 0.33; 0.03;-2.55; 0.05;-2.72; 0.08;-31.38; 1.19; 41;2;a; 8.197;3228.0; 1.957;317.1400;+49.0900
317.1800;+49.1100;134;UBC1135;317.18;  0.15;+49.11; 0.07; 90.20; 0.07;  0.93; 0.09; 0.27; 0.03;-3.56; 0.06;-4.13; 0.09;      ;     ; 44;0; ; 7.685;3894.0; 2.461;317.1800;+49.1100
311.4200;+52.3000;135;UBC1136;311.42;  0.10;+52.30; 0.05; 90.26; 0.06;  5.77; 0.05; 0.52; 0.01;-1.11; 0.06;-2.61; 0.05;      ;     ; 13;0; ; 8.134;1989.0; 1.264;311.4200;+52.3000
327.7200;+43.4700;136;UBC1137;327.72;  0.18;+43.47; 0.11; 91.62; 0.12; -8.16; 0.12; 0.19; 0.02;-3.92; 0.14;-4.22; 0.17;      ;     ; 24;0; ; 9.263;6051.0; 0.989;327.7200;+43.4700
320.3300;+50.2900;137;UBC1138;320.33;  0.12;+50.29; 0.07; 92.46; 0.07;  0.28; 0.08; 0.60; 0.01;-3.42; 0.06;-3.41; 0.08;      ;     ; 20;0; ; 8.089;1667.0; 1.385;320.3300;+50.2900
322.1000;+49.4500;138;UBC1139;322.10;  0.06;+49.45; 0.03; 92.69; 0.03; -1.11; 0.04; 0.36; 0.02;-2.23; 0.08;-3.01; 0.07;-28.34;     ; 26;1; ; 8.074;3004.0; 1.559;322.1000;+49.4500
324.6800;+49.0900;139;UBC1140;324.68;  0.10;+49.09; 0.06; 93.69; 0.07; -2.53; 0.06; 0.16; 0.03;-3.00; 0.09;-3.19; 0.09;-73.81;     ; 61;1; ; 8.042;6148.0; 1.476;324.6800;+49.0900
324.0100;+50.4900;140;UBC1141;324.01;  0.11;+50.49; 0.05; 94.30; 0.06; -1.19; 0.06; 0.54; 0.02;-3.84; 0.06;-3.34; 0.06;-14.44;     ; 42;1; ; 8.409;1975.0; 0.540;324.0100;+50.4900
332.9200;+45.1800;141;UBC1142;332.92;  0.12;+45.18; 0.08; 95.66; 0.10; -9.07; 0.07; 0.33; 0.03;-4.25; 0.09;-4.96; 0.10;      ;     ; 48;0; ; 9.287;3585.0; 0.976;332.9200;+45.1800
324.7000;+52.2500;142;UBC1143;324.70;  0.13;+52.25; 0.08; 95.80; 0.08; -0.16; 0.08; 0.21; 0.03;-3.43; 0.10;-3.53; 0.08;-65.42;     ;114;1; ; 7.836;4490.0; 2.126;324.7000;+52.2500
318.7800;+56.1700;143;UBC1144;318.78;  0.09;+56.17; 0.05; 96.02; 0.06;  5.06; 0.04; 0.21; 0.04;-0.92; 0.09;-1.50; 0.08;      ;     ; 53;0; ; 9.513;5099.0; 2.071;318.7800;+56.1700
328.2100;+51.5600;144;UBC1145;328.21;  0.12;+51.56; 0.07; 97.00; 0.09; -2.09; 0.05; 0.32; 0.01;-1.84; 0.05;-2.49; 0.05;      ;     ; 23;0; ; 8.055;3137.0; 1.303;328.2100;+51.5600
324.4700;+55.5900;145;UBC1146;324.47;  0.12;+55.59; 0.07; 97.92; 0.08;  2.42; 0.06; 0.26; 0.02;-4.35; 0.10;-4.69; 0.08;-63.01;     ; 44;1; ; 8.914;4061.0; 2.417;324.4700;+55.5900
326.7000;+54.5000;146;UBC1147;326.70;  0.15;+54.50; 0.09; 98.17; 0.10;  0.76; 0.08; 0.38; 0.03;-2.81; 0.09;-2.62; 0.09;-18.13; 0.65; 63;2; ; 8.349;2707.0; 2.039;326.7000;+54.5000
328.1800;+53.9400;147;UBC1148;328.18;  0.10;+53.94; 0.05; 98.48; 0.05; -0.23; 0.05; 0.21; 0.02;-2.84; 0.07;-2.84; 0.08;      ;     ; 28;0; ; 8.830;5456.0; 2.826;328.1800;+53.9400
327.1700;+54.8200;148;UBC1149;327.17;  0.09;+54.82; 0.04; 98.58; 0.06;  0.84; 0.03; 0.24; 0.04;-3.48; 0.08;-3.78; 0.07;      ;     ; 38;0; ; 9.038;3921.0; 2.518;327.1700;+54.8200
319.4900;+60.0900;149;UBC1150;319.49;  0.12;+60.09; 0.04; 99.13; 0.05;  7.50; 0.05; 0.63; 0.02;-4.69; 0.13;-3.52; 0.17;      ;     ; 26;0; ; 7.149;1518.0; 2.036;319.4900;+60.0900
327.5200;+56.9200;150;UBC1151;327.52;  0.11;+56.92; 0.07;100.07; 0.06;  2.33; 0.06; 0.48; 0.02;-2.08; 0.06;-2.33; 0.09;      ;     ; 31;0; ; 7.628;2486.0; 3.085;327.5200;+56.9200
329.2200;+56.2900;151;UBC1152;329.22;  0.10;+56.29; 0.07;100.41; 0.07;  1.25; 0.04; 0.38; 0.02;-2.93; 0.07;-2.61; 0.08;-21.27;19.49; 33;2; ; 8.418;2968.0; 2.464;329.2200;+56.2900
333.1700;+53.2300;152;UBC1153;333.17;  0.08;+53.23; 0.05;100.43; 0.06; -2.57; 0.04; 0.24; 0.01;-3.28; 0.04;-3.50; 0.03;      ;     ; 11;0; ; 7.988;4439.0; 1.110;333.1700;+53.2300
330.4800;+56.0400;153;UBC1154;330.48;  0.15;+56.04; 0.09;100.81; 0.09;  0.63; 0.08; 0.65; 0.02;-2.00; 0.06;-1.67; 0.07;      ;     ; 38;0; ; 7.797;1507.0; 1.797;330.4800;+56.0400
333.2600;+54.4300;154;UBC1155;333.26;  0.11;+54.43; 0.06;101.16; 0.05; -1.61; 0.08; 0.18; 0.01;-2.68; 0.07;-2.25; 0.06;      ;     ; 16;0; ; 8.206;7053.0; 0.859;333.2600;+54.4300
332.9100;+55.6200;155;UBC1156;332.91;  0.16;+55.62; 0.07;101.67; 0.08; -0.52; 0.08; 0.30; 0.01;-2.50; 0.05;-1.89; 0.06;-41.23; 0.99; 24;3; ; 8.377;3357.0; 1.238;332.9100;+55.6200
335.6700;+53.7300;156;UBC1157;335.67;  0.09;+53.73; 0.07;101.95; 0.07; -2.97; 0.05; 0.31; 0.02;-2.84; 0.04;-2.45; 0.06;      ;     ; 39;0; ; 8.220;3457.0; 0.823;335.6700;+53.7300
332.3500;+56.5900;157;UBC1158;332.35;  0.08;+56.59; 0.02;101.98; 0.04;  0.46; 0.03; 0.34; 0.03;-4.79; 0.06;-3.46; 0.05;      ;     ; 24;0; ; 8.721;3083.0; 1.804;332.3500;+56.5900
335.2900;+54.9200;158;UBC1159;335.29;  0.14;+54.92; 0.09;102.41; 0.07; -1.85; 0.10; 0.25; 0.02;-4.02; 0.08;-3.35; 0.06;      ;     ; 51;0; ; 7.893;4561.0; 1.045;335.2900;+54.9200
335.7200;+55.2800;159;UBC1160;335.72;  0.21;+55.28; 0.13;102.81; 0.14; -1.68; 0.11; 0.27; 0.02;-3.49; 0.07;-2.64; 0.08;      ;     ; 70;0; ; 7.763;4041.0; 1.014;335.7200;+55.2800
